One	one	One
earlier	earlier	earlier
,	,	,
these	these	these
issues	issu	issue
are	are	are
by	by	by
no	no	no
means	mean	mean
the	the	the
only	onli	only
ones	one	one
that	that	that
will	will	will
likely	like	likely
be	be	be
impacted	impact	impacted
a	a	a
shift	shift	shift
in	in	in
the	the	the
political	polit	political
leanings	lean	leaning
of	of	of
the	the	the
court	court	court
.	.	.
President	presid	President
Obama	obama	Obama
has	has	ha
vowed	vow	vowed
to	to	to
appoint	appoint	appoint
a	a	a
replacement	replac	replacement
for	for	for
Justice	justic	Justice
Scalia	scalia	Scalia
,	,	,
in	in	in
spite	spite	spite
of	of	of
threats	threat	threat
of	of	of
obstruction	obstruct	obstruction
from	from	from
the	the	the
republicans	republican	republican
in	in	in
Congress	congress	Congress
.	.	.
Given	given	Given
that	that	that
many	mani	many
of	of	of
the	the	the
policies	polici	policy
that	that	that
the	the	the
president	presid	president
has	has	ha
fought	fought	fought
for	for	for
over	over	over
the	the	the
past	past	past
eight	eight	eight
years	year	year
hang	hang	hang
in	in	in
the	the	the
balance	balanc	balance
,	,	,
there	there	there
s	s	s
little	littl	little
doubt	doubt	doubt
that	that	that
he	he	he
will	will	will
find	find	find
a	a	a
way	way	way
to	to	to
ensure	ensur	ensure
that	that	that
a	a	a
liberal	liber	liberal
justice	justic	justice
is	is	is
appointed	appoint	appointed
in	in	in
Scalia	scalia	Scalia
s	s	s
stead	stead	stead
.	.	.
Image	imag	Image
credit	credit	credit
wikimedia	wikimedia	wikimedia
commons	common	common
