Watch	watch	Watch
no	no	no
doubt	doubt	doubt
that	that	that
all	all	all
states	state	state
need	need	need
improvements	improv	improvement
to	to	to
the	the	the
voting	vote	voting
machines	machin	machine
used	use	used
and	and	and
the	the	the
processes	process	process
followed	follow	followed
to	to	to
count	count	count
the	the	the
votes	vote	vote
.	.	.

These	these	These
improvements	improv	improvement
should	should	should
begin	begin	begin
immediately	immedi	immediately
for	for	for
upcoming	upcom	upcoming
elections	elect	election
in	in	in
2017	2017	2017
and	and	and
beyond	beyond	beyond
.	.	.

Audits	audit	Audits
as	as	a
described	describ	described
by	by	by
Wired	wire	Wired
magazine	magazin	magazine
make	make	make
sense	sens	sense
moving	move	moving
forward	forward	forward
.	.	.
Nevertheless	nevertheless	Nevertheless
,	,	,
cybersecurity	cybersecur	cybersecurity
pros	pros	pro
must	must	must
be	be	be
extra	extra	extra
careful	care	careful
how	how	how
often	often	often
they	they	they
cry	cri	cry
hacked	hack	hacked
,	,	,
and	and	and
never	never	never
throw	throw	throw
in	in	in
a	a	a
maybe	mayb	maybe
or	or	or
perhaps	perhap	perhaps
to	to	to
cover	cover	cover
their	their	their
tracks	track	track
and	and	and
deny	deni	deny
accountability	account	accountability
later	later	later
.	.	.
For	for	For
entire	entir	entire
story	stori	story
Government	govern	Government
Technology	technolog	Technology

