Rush	rush	Rush
,	,	,
and	and	and
it	it	it
was	was	wa
speaking	speak	speaking
in	in	in
Dallas	dalla	Dallas
yesterday	yesterday	yesterday
.	.	.

This	this	This
idea	idea	idea
of	of	of
finding	find	finding
a	a	a
moral	moral	moral
equivalence	equival	equivalence
,	,	,
and	and	and
taking	take	taking
the	the	the
occasion	occas	occasion
of	of	of
a	a	a
memorial	memori	memorial
service	servic	service
at	at	at
a	a	a
funeral	funer	funeral
for	for	for
one	one	one
of	of	of
the	the	the
cops	cop	cop
to	to	to
say	say	say
it	it	it
?	?	?
It	it	It
was	was	wa
a	a	a
funeral	funer	funeral
for	for	for
one	one	one
of	of	of
the	the	the
cops	cop	cop
yesterday	yesterday	yesterday
.	.	.

To	to	To
take	take	take
the	the	the
occasion	occas	occasion
and	and	and
use	use	use
it	it	it
to	to	to
amplify	amplifi	amplify
?	?	?

That	that	That
statement	statement	statement
,	,	,
It	it	It
s	s	s
easier	easier	easier
to	to	to
get	get	get
a	a	a
Glock	glock	Glock
than	than	than
to	to	to
get	get	get
a	a	a
computer	comput	computer
or	or	or
gun	gun	gun
?	?	?

Come	come	Come
on	on	on
!	!	!

What	what	What
in	in	in
the	the	the
world	world	world
can	can	can
that	that	that
possibly	possibl	possibly
represent	repres	represent
,	,	,
that	that	that
kind	kind	kind
of	of	of
statement	statement	statement
?	?	?

There	there	There
s	s	s
nothing	noth	nothing
unifying	unifi	unifying
about	about	about
that	that	that
.	.	.

It	it	It
s	s	s
not	not	not
even	even	even
true	true	true
.	.	.

And	and	And
he	he	he
knows	know	know
it	it	it
isn	isn	isn
t	t	t
true	true	true
.	.	.

So	so	So
that	that	that
s	s	s
nothing	noth	nothing
but	but	but
a	a	a
provocative	provoc	provocative
statement	statement	statement
designed	design	designed
to	to	to
illustrate	illustr	illustrate
an	an	an
actual	actual	actual
opinion	opinion	opinion
held	held	held
by	by	by
Barack	barack	Barack
Obama	obama	Obama
,	,	,
and	and	and
he	he	he
turned	turn	turned
that	that	that
whole	whole	whole
thing	thing	thing
yesterday	yesterday	yesterday
into	into	into
yet	yet	yet
another	anoth	another
attempt	attempt	attempt
at	at	at
gun	gun	gun
control	control	control
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
the	the	the
Yes	yes	Yes
,	,	,
ladies	ladi	lady
and	and	and
gentlemen	gentlemen	gentleman
,	,	,
there	there	there
s	s	s
a	a	a
chapter	chapter	chapter
.	.	.

If	if	If
you	you	you
haven	haven	haven
t	t	t
heard	heard	heard
this	this	this
,	,	,
buckle	buckl	buckle
up	up	up
.	.	.

It	it	It
s	s	s
a	a	a
chapter	chapter	chapter
of	of	of
the	the	the
NAALCP	naalcp	NAALCP
,	,	,
the	the	the
National	nation	National
Association	associ	Association
for	for	for
the	the	the
Advancement	advanc	Advancement
of	of	of
Liberal	liber	Liberal
Colored	color	Colored
People	peopl	People
.	.	.

And	and	And
somebody	somebodi	somebody
in	in	in
some	some	some
chapter	chapter	chapter
prominently	promin	prominently
has	has	ha
now	now	now
claimed	claim	claimed
that	that	that
the	the	the
death	death	death
of	of	of
Micah	micah	Micah
X	x	X
.	.	.

Johnson	johnson	Johnson
was	was	wa
nothing	noth	nothing
more	more	more
than	than	than
a	a	a
modern	modern	modern
day	day	day
lynching	lynch	lynching
.	.	.

Yeah	yeah	Yeah
.	.	.

The	the	The
guy	guy	guy
who	who	who
assassinated	assassin	assassinated
five	five	five
Dallas	dalla	Dallas
police	polic	police
officers	offic	officer
and	and	and
injured	injur	injured
11	11	11
or	or	or
12	12	12
others	other	others
.	.	.
So	so	So
the	the	the
police	polic	police
rally	ralli	rally
,	,	,
and	and	and
they	they	they
use	use	use
their	their	their
explosive	explos	explosive
robot	robot	robot
bomb	bomb	bomb
to	to	to
kill	kill	kill
the	the	the
guy	guy	guy
,	,	,
and	and	and
now	now	now
the	the	the
NAALCP	naalcp	NAALCP
is	is	is
running	run	running
around	around	around
accusing	accus	accusing
that	that	that
action	action	action
of	of	of
being	be	being
a	a	a
lynching	lynch	lynching
.	.	.

Innocent	innoc	Innocent
people	peopl	people
were	were	were
lynched	lynch	lynched
.	.	.

The	the	The
NAALCP	naalcp	NAALCP
says	say	say
,	,	,
We	we	We
don	don	don
t	t	t
know	know	know
if	if	if
the	the	the
guy	guy	guy
was	was	wa
a	a	a
shooter	shooter	shooter
!	!	!

We	we	We
don	don	don
t	t	t
know	know	know
if	if	if
the	the	the
guy	guy	guy
did	did	did
it	it	it
.	.	.

We	we	We
re	re	re
just	just	just
taking	take	taking
their	their	their
word	word	word
for	for	for
it	it	it
?	?	?

We	we	We
don	don	don
t	t	t
take	take	take
their	their	their
word	word	word
for	for	for
it	it	it
!	!	!

We	we	We
don	don	don
t	t	t
trust	trust	trust
them	them	them
;	;	;
we	we	we
don	don	don
t	t	t
to	to	to
believe	believ	believe
em	em	em
.	.	.

They	they	They
re	re	re
making	make	making
it	it	it
up	up	up
!	!	!

We	we	We
don	don	don
t	t	t
have	have	have
any	ani	any
evidence	evid	evidence
the	the	the
guy	guy	guy
was	was	wa
the	the	the
shooter	shooter	shooter
.	.	.

We	we	We
don	don	don
t	t	t
have	have	have
any	ani	any
evidence	evid	evidence
blew	blew	blew
him	him	him
up	up	up
with	with	with
a	a	a
robot	robot	robot
bomb	bomb	bomb
.	.	.

It	it	It
s	s	s
a	a	a
lynching	lynch	lynching
.	.	.

Hey	hey	Hey
,	,	,
here	here	here
s	s	s
to	to	to
unity	uniti	unity
.	.	.
For	for	For
entire	entir	entire
article	articl	article
Rushlimbaugh	rushlimbaugh	Rushlimbaugh
.	.	.
com	com	com

